TID,EN,ydZH
TID_NEWS34_CONTEXT,There are now museums dedicated to your cookies.,现在博物馆致力于你的饼干。
TID_NEWS35_CONTEXT,A national day has been created in honor of your cookies.,创建了一个国庆纪念你的饼干。
TID_NEWS36_CONTEXT,Your cookies have been named a part of the world wonders.,你的饼干被命名为世界奇迹的一部分。
TID_NEWS37_CONTEXT,History books now include a whole chapter about your cookies.,历史书现在包括整个章你的饼干。
TID_NEWS38_CONTEXT,Your cookies have been placed under government surveillance.,你的饼干已经受到政府监控。
TID_NEWS39_CONTEXT,The whole planet is enjoying your cookies!,整个地球正在享受你的饼干!
TID_NEWS40_CONTEXT,Strange creatures from neighboring planets wish to try your cookies.,奇怪的生物从邻近的行星希望尝试你的饼干。
TID_NEWS41_CONTEXT,Elder gods from the whole cosmos have awoken to taste your cookies.,老人神从整个宇宙已认识到品尝你的饼干。
TID_NEWS42_CONTEXT,Beings from other dimensions lapse into existence just to get a taste of your cookies.,人类从其他方面陷入的存在只是为了尝到你的饼干。
TID_NEWS43_CONTEXT,Your cookies have achieved sentience.,你的饼干所取得的感觉。
TID_NEWS44_CONTEXT,"The universe has now turned into cookie dough, to the molecular level.",宇宙已经变成饼干面团
TID_NEWS45_CONTEXT,Your cookies are rewriting the fundamental laws of the universe.,你的饼干是重写宇宙的基本规律。
TID_NEWS46_CONTEXT,A local news station runs a 10-minute segment about your cookies. Success!(you win a cookie),当地新闻站运行10分钟段你的饼干。成功!(你赢了饼干)
TID_NEWS47_CONTEXT,it's time to stop playing,是时候停止玩
TID_BUTTON_LABEL_SELL,Sell,出售
TID_BUTTON_LABEL_MENU,Menu,菜单
TID_BUTTON_LABEL_STATS,Stats,统计数据
TID_STORE,STORE,商店
TID_BUILDING,BUILDING,建筑
TID_SECTION_GENERAL,general,一般
TID_SECTION_UNLOCK_UPGRADES,Unlock Upgrades,解锁升级
TID_UPGRADE,Upgrade,升级
TID_ACHIEVEMENTS,Achievements,成就
TID_COOKIES_IN_BANK,Cookies In Bank:,饼干在银行:
TID_COOKIES_BAKED_THIS_GAME,Cookies In Baked(this game):,饼干在烤(这个游戏):
TID_COOKIES_BAKED_ALL_TIME,Cookies In Baked(all time):,饼干在烤(时间):
TID_SESSION_START,Session Start:,会议开始:
TID_BUILDING_OWNED,Building Owned:,建筑拥有:
TID_COOKIES_PER_SECEND,Cookies Per Secend:,饼干每二:
TID_MULTIPLIER,multiplier:(#Number#%),(增加:
TID_COOKIES_PER_CLICK,Cookies Per Click:,饼干每点击:
TID_COOKIE_CLICK,Cookie Click:,饼干点击:
TID_HAND_MAKE_COOKIE,Hand-made cookies:,手工饼干:
TID_GOLDEN_CLICK,Golden Cookie Clicks:,黄金饼干点击:
TID_RUNNING_VERSION,Running version:,运行版本:
TID_UNLOCKED,Unlocked:,解锁:
TID_MILK,Milk:,牛奶:
TID_MILK_NOTE,Note:you gain milk through achievements.Milk can unlock unique upgrades over time.,注意:您通过成就获得牛奶。牛奶可以解锁独特的升级。
